FIPS_Code,Employed_2020,Median_Household_Income_2020,Unemployment_rate_2020,"Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23",BIRTHS_2020,DEATHS_2020,DOMESTIC_MIG_2020,GQ_ESTIMATES_BASE_2020,INTERNATIONAL_MIG_2020,NATURAL_CHG_2020,NET_MIG_2020,Anxiety_Score_2020,Depression_Score_2020,State_Name,Region
54107,32709,57599,8.7,32.12099028,35.45354718,9.480234261,22.94522827,190,255,-93,1131,0,-65,-93,2.55284973,2.631129241,West Virginia,South
55009,132856,72398,6.2,31.64094076,29.21260579,6.713114439,32.43333902,741,556,-55,7178,7,185,-48,2.516815197,2.591019063,Wisconsin,Midwest
55015,26036,85589,4.8,32.03738419,30.18719265,5.240850925,32.53457223,112,90,1,191,0,22,1,3.154138895,2.995556321,Wisconsin,Midwest
55017,31076,74425,6.4,35.57641821,33.76388801,6.519227942,24.14046584,171,146,-7,2857,0,25,-7,2.333670041,2.545714321,Wisconsin,Midwest
55021,29573,78767,6,36.98943159,31.16014472,6.172046082,25.67837761,143,149,27,1675,0,-6,27,2.522282028,2.653259064,Wisconsin,Midwest
55025,307959,85189,4.9,24.41304307,17.41693704,3.720432569,54.44958731,1483,965,347,17502,60,518,407,2.535541494,2.635066411,Wisconsin,Midwest
55027,45224,69681,5.4,32.26703539,40.26193953,7.549016562,19.92200851,193,239,-16,5960,0,-46,-16,2.414818268,2.670176856,Wisconsin,Midwest
55031,21256,66180,9.3,37.36707119,29.50394095,5.367196297,27.76179157,90,112,76,1372,0,-22,76,2.604383008,2.700381807,Wisconsin,Midwest
55035,55558,70564,5.7,34.20412232,26.14565925,3.991849181,35.65836925,292,212,61,5035,4,80,65,2.53590995,2.640791935,Wisconsin,Midwest
55039,52906,71206,6,33.13506476,37.26444186,6.989652573,22.61084081,252,273,0,3576,2,-21,2,2.566368623,2.61750707,Wisconsin,Midwest
55043,26099,63247,5.3,33.80212492,34.52066572,7.114782288,24.56242707,166,135,-3,4170,0,31,-3,2.565987873,2.678003097,Wisconsin,Midwest
55055,42995,78728,5.6,32.21636504,32.53869657,7.116475842,28.12846255,216,181,-16,4180,0,35,-16,2.45084899,2.566741517,Wisconsin,Midwest
55059,83390,75067,7.2,32.74128453,27.95386542,8.543246817,30.76160323,442,406,-51,4405,5,36,-46,2.597274781,2.66943025,Wisconsin,Midwest
55063,62300,70075,5.5,35.68526751,24.70744545,3.524707445,36.08257959,302,262,59,5368,0,40,59,2.570352022,2.653765732,Wisconsin,Midwest
55071,38265,62910,6.3,32.67210607,37.44348122,7.652558219,22.2318545,186,206,30,1296,0,-20,30,2.516029836,2.59408789,Wisconsin,Midwest
55073,69400,70955,5.1,32.93184337,32.88420311,6.911979453,27.27197407,362,278,-68,1882,0,84,-68,2.516282029,2.606170807,Wisconsin,Midwest
55079,428775,58375,8.4,27.69813685,27.98481188,10.42463435,33.89241692,3054,2654,-1645,21525,119,400,-1526,2.568853915,2.635470079,Wisconsin,Midwest
55087,98119,78808,5.6,31.80983022,30.95976884,5.246746514,31.98365443,542,375,32,3760,0,167,32,2.509481939,2.603904893,Wisconsin,Midwest
55089,46181,97778,5.5,25.84917851,21.61251615,2.173712387,50.36459295,202,217,107,2215,1,-15,108,2.566441626,2.636357159,Wisconsin,Midwest
55093,23192,85508,7.1,32.8545715,30.8305477,4.330896668,31.98398413,89,57,-22,2867,0,32,-22,2.546693146,2.619848237,Wisconsin,Midwest
55097,35783,71360,5.5,30.00564506,31.1172869,5.180424682,33.69664336,152,141,0,3037,2,11,2,2.545820213,2.6565524,Wisconsin,Midwest
55101,91061,72331,7.4,33.71375103,29.88476954,8.415360132,27.9861193,513,551,-169,4516,1,-38,-168,2.611672206,2.656613635,Wisconsin,Midwest
55105,79608,67430,7.3,33.61941586,33.26107538,7.385353164,25.7341556,464,421,-34,3111,0,43,-34,2.594974097,2.664342566,Wisconsin,Midwest
55109,47139,97589,7.2,32.12943568,24.80747905,3.674839823,39.38824544,245,149,230,984,0,96,230,2.497565446,2.579381969,Wisconsin,Midwest
55111,32035,70484,7.7,33.72819438,33.13806446,6.64058278,26.49315838,180,162,-12,989,1,18,-11,2.58726475,2.625440148,Wisconsin,Midwest
